1,2012-03-05,2012-04-04,9,5,5
2,2012-03-05,2012-03-26,14,6,6
3,2012-03-05,2012-03-23,20,7,7
4,2012-03-05,2012-04-04,33,8,8
5,2012-03-05,2012-03-29,47,9,9
6,2012-03-05,2012-03-25,56,10,10
7,2012-03-05,2012-03-26,67,11,11
8,2012-03-05,2012-03-21,76,12,12
9,2012-03-05,2012-03-15,92,13,13
10,2012-03-05,2012-03-21,112,14,14
11,2012-03-05,2012-03-25,119,15,15
12,2012-03-05,2012-03-22,131,16,16
13,2012-03-05,2012-04-03,146,17,17
14,2012-03-05,2012-03-27,164,18,18
15,2012-03-05,2012-03-22,176,19,19
16,2012-03-05,2012-03-21,188,20,20
17,2012-03-05,2012-03-16,192,21,21
18,2012-03-05,2012-03-26,206,22,22
19,2012-03-05,2012-03-28,214,23,23
20,2012-03-05,2012-03-19,224,24,24
21,2012-03-05,2012-03-19,236,25,25
22,2012-03-05,2012-04-03,243,26,26
23,2012-03-05,2012-04-01,259,27,27
24,2012-03-05,2012-04-01,273,28,28
25,2012-03-05,2012-03-13,276,29,29
26,2012-03-05,2012-04-04,293,30,30
27,2012-03-05,2012-04-02,313,31,31
28,2012-03-05,2012-03-20,321,32,32
29,2012-03-05,2012-03-23,334,33,33
30,2012-03-05,2012-03-27,346,34,34
31,2012-03-05,2012-03-16,359,35,35
32,2012-03-05,2012-03-24,379,36,36
33,2012-03-05,2012-03-13,386,37,37
34,2012-03-05,2012-03-26,390,38,38
35,2012-03-05,2012-03-29,403,39,39
36,2012-03-05,2012-03-28,406,40,40
37,2012-03-05,2012-04-01,412,41,41
38,2012-03-05,2012-03-16,417,42,42
39,2012-03-05,2012-03-16,425,43,43
40,2012-03-05,2012-03-24,440,44,44
41,2012-03-05,2012-03-31,448,45,45
42,2012-03-05,2012-03-27,462,46,46
43,2012-03-05,2012-03-12,479,47,47
44,2012-03-05,2012-03-13,495,48,48
45,2012-03-05,2012-03-16,506,49,49
46,2012-03-05,2012-03-30,520,50,50
47,2012-03-05,2012-03-13,538,51,51
48,2012-03-05,2012-03-19,543,52,52
49,2012-03-05,2012-03-21,556,53,53
50,2012-03-05,2012-03-13,568,54,54
51,2012-03-05,2012-03-13,573,55,55
52,2012-03-05,2012-03-23,586,56,56
53,2012-03-06,2012-04-05,594,57,57
54,2012-03-06,2012-03-28,608,58,58
55,2012-03-06,2012-03-29,615,59,59
56,2012-03-06,2012-04-05,626,60,60
57,2012-03-06,2012-03-20,633,61,1
58,2012-03-06,2012-04-01,638,62,2
59,2012-03-06,2012-03-18,643,63,3
60,2012-03-06,2012-03-27,657,64,4
61,2012-03-06,2012-03-19,676,65,5
62,2012-03-06,2012-04-03,683,66,6
63,2012-03-06,2012-03-31,699,67,7
64,2012-03-06,2012-03-29,710,68,8
65,2012-03-06,2012-04-05,726,69,9
66,2012-03-06,2012-03-20,738,70,10
67,2012-03-06,2012-03-14,746,71,11
68,2012-03-06,2012-03-17,759,72,12
69,2012-03-06,2012-03-27,765,73,13
70,2012-03-06,2012-03-27,778,74,14
71,2012-03-06,2012-03-26,787,75,15
72,2012-03-06,2012-04-01,800,76,16
73,2012-03-06,2012-03-31,813,77,17
74,2012-03-06,2012-04-02,817,78,18
75,2012-03-06,2012-03-26,836,79,19
76,2012-03-06,2012-03-16,840,80,20
77,2012-03-06,2012-03-18,846,81,21
78,2012-03-06,2012-03-21,862,82,22
79,2012-03-06,2012-03-23,875,83,23
80,2012-03-06,2012-03-28,889,84,24
81,2012-03-06,2012-03-22,909,85,25
82,2012-03-06,2012-03-28,922,86,26
83,2012-03-06,2012-03-29,935,87,27
84,2012-03-06,2012-03-28,953,88,28
85,2012-03-06,2012-03-27,963,89,29
86,2012-03-06,2012-03-17,982,90,30
87,2012-03-06,2012-03-23,990,91,31
88,2012-03-06,2012-04-01,1000,92,32
89,2012-03-06,2012-03-14,1004,93,33
90,2012-03-06,2012-03-21,1021,94,34
91,2012-03-06,2012-03-30,1027,95,35
92,2012-03-06,2012-03-23,1032,96,36
93,2012-03-06,2012-03-14,1036,97,37
94,2012-03-06,2012-03-22,1039,98,38
95,2012-03-06,2012-03-27,1058,99,39
96,2012-03-06,2012-03-15,1074,100,40
97,2012-03-06,2012-03-24,1084,101,41
98,2012-03-06,2012-03-29,1102,102,42
99,2012-03-06,2012-03-26,1115,103,43
100,2012-03-06,2012-03-20,1132,104,44
101,2012-03-06,2012-03-30,1148,105,45
102,2012-03-06,2012-03-18,1158,106,46
103,2012-03-06,2012-03-23,1165,107,47
104,2012-03-07,2012-03-14,1179,108,48
105,2012-03-07,2012-03-28,1188,109,49
106,2012-03-08,2012-03-19,1202,110,50
107,2012-03-08,2012-03-19,1215,111,51
108,2012-03-08,2012-04-07,1228,112,52
109,2012-03-08,2012-04-07,1244,113,53
110,2012-03-08,2012-03-18,1264,114,54
111,2012-03-08,2012-03-30,1280,115,55
112,2012-03-08,2012-03-15,1298,116,56
113,2012-03-08,2012-04-04,1306,117,57
114,2012-03-08,2012-03-22,1316,118,58
115,2012-03-08,2012-03-28,1325,119,59
116,2012-03-08,2012-03-31,1328,120,60
117,2012-03-08,2012-03-20,1345,121,1
118,2012-03-08,2012-03-18,1348,122,2
119,2012-03-08,2012-03-17,1356,123,3
120,2012-03-08,2012-03-24,1373,124,4
121,2012-03-08,2012-04-04,1381,125,5
122,2012-03-08,2012-04-07,1391,126,6
123,2012-03-08,2012-04-04,1405,127,7
124,2012-03-08,2012-04-06,1414,128,8
125,2012-03-08,2012-03-20,1422,129,9
126,2012-03-08,2012-03-26,1434,130,10
127,2012-03-08,2012-04-07,1439,131,11
128,2012-03-08,2012-03-27,1448,132,12
129,2012-03-08,2012-03-28,1460,133,13
130,2012-03-08,2012-04-01,1478,134,14
131,2012-03-08,2012-03-19,1496,135,15
132,2012-03-08,2012-03-20,1509,136,16
133,2012-03-08,2012-03-17,1514,137,17
134,2012-03-08,2012-03-30,1526,138,18
135,2012-03-08,2012-03-28,1535,139,19
136,2012-03-08,2012-03-31,1542,140,20
137,2012-03-08,2012-04-02,1546,141,21
138,2012-03-08,2012-04-01,1549,142,22
139,2012-03-08,2012-03-15,1554,143,23
140,2012-03-08,2012-03-20,1573,144,24
